"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.772531208E0,7.173532562E0,-6.505621490E0,9.684860229E-1
2.782527208E0,7.160060577E0,-6.474336548E0,1.010398865E0
2.792522208E0,7.131020966E0,-6.451583862E0,1.031205597E0
2.802518208E0,7.107519836E0,-6.462960205E0,1.035396881E0
2.812514208E0,7.086862793E0,-6.500083008E0,1.016087036E0
2.822509208E0,7.093299408E0,-6.534960480E0,9.912387085E-1
2.832505208E0,7.161557465E0,-6.548282776E0,1.023870850E0
2.842501208E0,7.189698944E0,-6.541097717E0,9.948312378E-1
2.852496208E0,7.218888245E0,-6.524033203E0,1.023870850E0
2.862492208E0,7.206314392E0,-6.512656860E0,1.052611084E0
2.872488208E0,7.173083496E0,-6.591393127E0,1.022673340E0
2.882483208E0,7.075037384E0,-6.646777954E0,9.030720520E-1
2.892479208E0,6.990762634E0,-6.675518188E0,8.644523621E-1
2.902474208E0,6.959178314E0,-6.697672119E0,8.828640747E-1
2.912470208E0,7.018455048E0,-6.712790680E0,9.361532593E-1
2.922466208E0,7.104975128E0,-6.716832275E0,1.003064117E0
2.932461208E0,7.195686493E0,-6.680906982E0,1.100810852E0
2.942457208E0,7.223528595E0,-6.633605347E0,1.159039764E0
2.952453208E0,7.167844391E0,-6.585555267E0,1.212328949E0
2.962448208E0,7.097341003E0,-6.559060364E0,1.215023346E0
2.972444208E0,7.087611237E0,-6.526877289E0,1.179098053E0
2.982440208E0,7.113208008E0,-6.533313904E0,1.087937622E0
2.992435208E0,7.144343262E0,-6.556515656E0,9.292675781E-1
3.002431208E0,7.140900421E0,-6.557713165E0,8.235873413E-1
3.012427208E0,7.095544739E0,-6.558461609E0,7.999365234E-1
3.022422208E0,7.058871002E0,-6.539301453E0,8.081694031E-1
3.032418208E0,7.016658783E0,-6.530469818E0,8.907975769E-1
3.042413208E0,6.976242828E0,-6.544540558E0,9.837542725E-1
3.052409208E0,6.964417419E0,-6.564598846E0,1.031355286E0
3.062405208E0,6.966213684E0,-6.591393127E0,1.070573730E0
