"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.264552375E1,-2.261202621E1,4.391169739E1,-2.436004639E0
4.265551875E1,-2.263713455E1,4.402534103E1,-2.959259033E0
4.266551475E1,-2.262247086E1,4.408722305E1,-3.262878418E0
4.267551075E1,-2.274959564E1,4.432389832E1,-3.743133545E0
4.268550675E1,-2.253523254E1,4.456833649E1,-4.250213623E0
4.269550175E1,-2.252848816E1,4.464417267E1,-4.958053589E0
4.270549775E1,-2.269068909E1,4.484825897E1,-5.254409790E0
4.271549375E1,-2.262174225E1,4.489690399E1,-5.774948120E0
4.272548975E1,-2.261815643E1,4.498260880E1,-6.102416992E0
4.273548475E1,-2.247948456E1,4.513380051E1,-6.315292358E0
4.274548075E1,-2.263930130E1,4.525834274E1,-6.928573608E0
4.275547675E1,-2.259766388E1,4.523994827E1,-7.477066040E0
4.276547275E1,-2.259491730E1,4.554957581E1,-7.576583862E0
4.277546775E1,-2.262154770E1,4.573538589E1,-8.076507568E0
4.278546375E1,-2.262175751E1,4.590854263E1,-8.466842651E0
4.279546008E1,-2.262175751E1,4.590854263E1,-8.466842651E0
4.280545608E1,-2.276078796E1,4.594623184E1,-9.006484985E0
4.281545208E1,-2.279248810E1,4.607522202E1,-9.356246948E0
4.282544708E1,-2.277529144E1,4.614488602E1,-9.604553223E0
4.283544308E1,-2.273360825E1,4.616260910E1,-1.012615967E1
4.284543908E1,-2.265038681E1,4.629230118E1,-1.057313538E1
4.285543508E1,-2.265011597E1,4.658237839E1,-1.114628601E1
4.286543008E1,-2.277941513E1,4.662720871E1,-1.135054016E1
4.287542608E1,-2.287271500E1,4.658822632E1,-1.194453430E1
4.288542208E1,-2.313674927E1,4.669591141E1,-1.229634094E1
4.289541808E1,-2.322210312E1,4.659312057E1,-1.275492859E1
4.290541308E1,-2.334878540E1,4.652637100E1,-1.331008911E1
4.291540908E1,-2.355413818E1,4.647629547E1,-1.375666809E1
4.292540508E1,-2.373311615E1,4.647291565E1,-1.445092773E1
4.293540108E1,-2.371731567E1,4.649958038E1,-1.479586792E1
4.294539608E1,-2.387864304E1,4.633441162E1,-1.550390625E1
4.295539208E1,-2.411357880E1,4.644515228E1,-1.605790710E1
4.296538808E1,-2.438903809E1,4.626366425E1,-1.650224304E1
4.297538408E1,-2.448399734E1,4.601432419E1,-1.719006348E1
4.298537908E1,-2.466450119E1,4.591548920E1,-1.768371582E1
4.299537508E1,-2.488368607E1,4.571769333E1,-1.823426819E1
4.300537108E1,-2.512642288E1,4.546528244E1,-1.902365112E1
4.301536708E1,-2.536317825E1,4.526936340E1,-1.957029724E1
4.302536308E1,-2.561585999E1,4.501949310E1,-2.010049438E1
4.303535808E1,-2.576076889E1,4.488410568E1,-2.062739563E1
4.304535408E1,-2.595763016E1,4.448447037E1,-2.117776489E1
4.305535008E1,-2.627102661E1,4.423565674E1,-2.144361877E1
4.306534608E1,-2.666847610E1,4.410826492E1,-2.213079834E1
4.307534108E1,-2.682572937E1,4.382300186E1,-2.231840515E1
4.308533708E1,-2.688018799E1,4.376455307E1,-2.249700928E1
4.309533308E1,-2.708415222E1,4.352465057E1,-2.310871887E1
4.310532908E1,-2.733496857E1,4.352423859E1,-2.342301941E1
4.311532408E1,-2.753351593E1,4.346321106E1,-2.373866272E1
4.312532008E1,-2.758774185E1,4.318558121E1,-2.428610229E1
4.313531608E1,-2.769795609E1,4.314577484E1,-2.449737549E1
4.314531208E1,-2.794102097E1,4.286705017E1,-2.483349609E1
4.315530708E1,-2.821370697E1,4.260411453E1,-2.522476196E1
4.316530308E1,-2.839648056E1,4.233872986E1,-2.557212830E1
4.317529908E1,-2.844018936E1,4.207674408E1,-2.591415405E1
