"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.737023958e0,-8.480976999e-2,-4.030339569e-1,-3.407440363e0,3.432241089e0
1.747075958e0,2.837525117e-1,-7.198320079e-1,-2.303535165e0,2.430009848e0
1.757128958e0,5.946983770e-1,-8.558775665e-1,-1.525041550e0,1.847144905e0
1.767180958e0,8.136575997e-1,-7.761789939e-1,-1.543719311e0,1.909859113e0
1.777232958e0,8.152468729e-1,-6.538721994e-1,-1.872790083e0,2.144648925e0
1.787284958e0,7.331253603e-1,-4.751023516e-1,-1.938911567e0,2.126634220e0
1.797336958e0,5.936891475e-1,-2.858481538e-1,-2.032459416e0,2.136601800e0
1.807389958e0,3.344735992e-1,-1.869786076e-1,-2.071776094e0,2.106914752e0
1.817441958e0,1.107705304e-1,-9.024431840e-2,-1.849722818e0,1.855232775e0
1.827493958e0,1.289696968e-1,-1.213098443e-1,-1.594298896e0,1.604100443e0
1.837545958e0,9.466495961e-2,-2.475339809e-1,-1.555971567e0,1.578379563e0
1.847598958e0,-5.779037118e-2,-3.497107123e-1,-1.996258135e0,2.027482145e0
1.857650958e0,-5.249484032e-2,-6.574561040e-1,-2.466398247e0,2.553061799e0
1.867702958e0,4.956363112e-2,-1.038924360e0,-2.525701877e0,2.731481348e0
1.877754958e0,-7.866785467e-2,-1.183505976e0,-2.120650631e0,2.429821830e0
1.887806958e0,-3.790849310e-1,-1.265335859e0,-1.430609018e0,1.947157514e0
1.897859958e0,-5.610590529e-1,-1.452967601e0,-9.608378649e-1,1.830057789e0
1.907911958e0,-7.707475153e-1,-1.777483099e0,-6.607201660e-1,2.046960927e0
1.917963958e0,-1.020477710e0,-1.936813294e0,-4.096360481e-1,2.227200526e0
1.928015958e0,-1.081322667e0,-1.966949113e0,-6.049359745e-1,2.324670956e0
1.938068958e0,-9.455561668e-1,-2.104030798e0,-1.406325531e0,2.701624245e0
1.948120958e0,-7.641889858e-1,-2.416520036e0,-2.308498866e0,3.428224162e0
1.958172958e0,-1.006198810e0,-2.889606267e0,-2.904424281e0,4.218760580e0
1.968224958e0,-1.514967967e0,-3.657910523e0,-3.423820168e0,5.234308157e0
