"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.802518208E0,2.262027934E-2,3.736014292E-2,-5.617713556E-3
2.812514208E0,3.200353682E-2,2.442149445E-2,8.120843209E-3
2.822509208E0,3.271539882E-2,-1.147445571E-2,1.591831446E-2
2.832505208E0,2.435188368E-2,-3.395267576E-2,1.264717057E-2
2.842501208E0,1.488434710E-2,-4.048780724E-2,-4.355247132E-3
2.852496208E0,1.309704874E-2,-3.274822608E-2,-2.430124953E-2
2.862492208E0,2.237789892E-2,-1.890724525E-2,-4.460385814E-2
2.872488208E0,2.539262921E-2,1.337558497E-2,-5.886983871E-2
2.882483208E0,8.660788648E-3,4.149883240E-2,-4.531221837E-2
2.892479208E0,-1.787107438E-2,5.407140031E-2,-1.186760049E-2
2.902474208E0,-4.496341199E-2,4.957864806E-2,1.678082347E-2
2.912470208E0,-6.496094167E-2,3.575504944E-2,3.161305189E-2
2.922466208E0,-7.573928684E-2,1.620105281E-2,3.331268206E-2
2.932461208E0,-6.441544741E-2,2.533254446E-3,1.800841093E-2
2.942457208E0,-3.782803938E-2,1.086921431E-2,6.655887701E-3
2.952453208E0,4.225411918E-3,2.196661569E-2,-2.154824790E-3
2.962448208E0,3.895090520E-2,2.774487622E-2,-6.450237241E-3
2.972444208E0,6.577204168E-2,2.114015259E-2,-1.184787229E-2
2.982440208E0,7.580975443E-2,1.458051987E-2,-2.288001776E-2
2.992435208E0,5.881743506E-2,2.378614806E-2,-3.302732110E-2
3.002431208E0,2.837803587E-2,2.757502720E-2,-4.798416421E-2
3.012427208E0,-7.717987057E-3,4.229819775E-2,-5.856454372E-2
3.022422208E0,-3.424093872E-2,4.735953361E-2,-5.667689443E-2
3.032418208E0,-4.841179401E-2,3.642974794E-2,-4.804955050E-2
3.042413208E0,-5.381827801E-2,2.229954675E-2,-3.376781940E-2
3.052409208E0,-5.079114810E-2,1.535847411E-2,-1.766699739E-2
3.062405208E0,-4.404110089E-2,2.467443468E-3,-2.204950433E-3
3.072400208E0,-2.365089953E-2,-6.633230951E-3,4.966814071E-3
3.082396208E0,-9.731356055E-3,-1.242560707E-2,1.256321371E-2
3.092392208E0,5.415726919E-3,-2.343808860E-2,1.778658852E-2
3.102387208E0,1.469790842E-2,-3.352294862E-2,2.532919496E-2
3.112383208E0,2.932907827E-2,-4.381035641E-2,3.330966085E-2
3.122379208E0,3.971700370E-2,-4.669322819E-2,4.639510438E-2
3.132374208E0,4.873237014E-2,-3.572807834E-2,4.690362886E-2
3.142370208E0,5.456735566E-2,-2.017974108E-2,3.629146516E-2
3.152366208E0,5.828633904E-2,-6.079841405E-3,2.504247054E-2
3.162361208E0,6.375247240E-2,4.369134549E-4,1.151361316E-2
3.172357208E0,6.009231880E-2,-8.039038628E-3,6.523411255E-3
3.182353208E0,5.418409407E-2,-2.066881396E-2,7.304783445E-3
3.192348208E0,4.800911248E-2,-3.061776608E-2,6.961974315E-3
3.202344208E0,3.042878583E-2,-3.912923113E-2,6.462365389E-3
3.212339208E0,5.905570462E-3,-3.791641071E-2,6.184646860E-3
3.222335208E0,-1.880297065E-2,-2.451245487E-2,1.548083965E-3
3.232331208E0,-4.287168011E-2,-1.319370046E-2,-6.065252703E-3
3.242326208E0,-5.218581855E-2,4.091014154E-3,-1.024242118E-2
3.252322208E0,-4.471266270E-2,1.988379471E-2,-1.734943129E-2
3.262318208E0,-2.383241430E-2,2.790257148E-2,-1.792254485E-2
3.272313208E0,-1.095199026E-3,2.425500937E-2,-1.124758646E-2
3.282309208E0,2.133021504E-2,3.112972248E-3,3.665316384E-3
3.292305208E0,4.836590961E-2,-1.986816153E-2,1.542710699E-2
3.302300208E0,6.629830599E-2,-5.372519046E-2,2.737404779E-2
3.312296208E0,7.706041634E-2,-7.584300637E-2,2.547556907E-2
3.322292208E0,6.327135861E-2,-8.474382013E-2,1.437657978E-2
3.332287208E0,4.184590280E-2,-8.121896535E-2,-1.171832671E-3
3.342283208E0,4.785088822E-3,-4.461275414E-2,-1.396885421E-2
3.352279208E0,-4.147949815E-2,-5.791240837E-3,-2.142723277E-2
3.362274208E0,-6.839632988E-2,2.635018341E-2,-2.331967466E-2
3.372270208E0,-7.360532880E-2,5.385189876E-2,-2.661371976E-2
